i'm feeling amazing!!!!|40.752879199999995|-73.9349249
Testing|31.209857|121.5262269|1455945596.64
Testing again|31.209922199999998|121.52626760000001|1455945678.32
Testing again|31.209922199999998|121.52626760000001|1455945691.07
Testing again|31.209922199999998|121.52626760000001|1455945718.18
Testing to see if this is splitting correctly|31.228101499999998|121.52777239999999|1455952614.22
angry depressed wonderful|31.2261584|121.53119749999999|1455952686.62
Testing this time from my phone|31.209339699001337|121.52676355914889|1455952926.8
Wow this is working!|31.227663202092604|121.52978542548864|1455952966.99
scared nervous excited apprehensive|||1455954106.07
nervous scared excited apprehensive|31.227724700000003|121.5293051|1455954853.51
nervous scared anxious excited happy|31.227915299999996|121.52736720000001|1455955315.56
nervous scared anxious excited happy|31.227915299999996|121.52736720000001|1455955405.37
excited happy surprised amazing|31.2271459|121.52878319999999|1455955448.68
happy amazing thrilled surprised|31.226694100000003|121.53004999999999|1455955538.05
thrilled excited amazing happy|31.2283187|121.52649110000002|1455955633.47
thrilled excited amazing happy|31.22767742577679|121.52982856862637|1455955879.76
thrilled excited amazing happy|31.22767742577679|121.52982856862637|1455955911.31
thrilled excited amazing happy|31.22767742577679|121.52982856862637|1455955996.07
disgusted sad brokenhearted crying|31.2271521|121.52882740000001|1455956207.04
disgusted sad angry scared|||1455956230.86
nervous angry upset disgusted|31.228311100000003|121.5298199|1455956320.9
